Species	Weight(grams)	Sex	Plot	Date Collected	Correctly Callibrated			
DM	NA	F	2	7/16/13	1			
DM	33	M	7	7/16/13	1			
DM	NA	M	3	7/16/13	1			
DM	NA	M	1	7/16/13	1			
DM	40	M	3	7/18/13	1			
DM	48	M	7	7/18/13	1			
DM	29	F	4	7/18/13	1			
DM	37	F	6	7/18/13	1			
DO	52	F	8	8/19/13	1			
DO	33	F	3	10/17/13	1			
DO	50	F	3	10/17/13	1			
DO	40	F	9	12/10/13	1			
DO	45	M	1	12/10/13	1			
DO	41	F	8	12/11/13	1			
DS	117	F	9	11/12/13	1			
DS	126	F	11	11/13/13	1			
DS	132	M	17	11/13/13	0			
DS	113	F	14	11/13/13	0			
DS	122	F	11	11/13/13	1			
DS	107	F	4	11/13/13	1			
DS	115	F	4	11/13/13	1			
DM	40	M	1	1/9/14	1			
DM	36	F	1	1/9/14	1			
DM	51	F	1	3/13/14	1			
DM	44	F	1	3/13/14	1			
DS	146	F	1	3/13/14	1			
DM	37	F	4	1/8/78	NA			
DM	NA	M	4	1/8/78	1			
DM	48	F	4	1/8/78	1			
DO	52	M	4	1/8/78	1			
OL	35	M	4	1/8/78	1			
NA	NA	NA	2	1/8/14	NA			
DM	44	M	2	1/8/14	1			
PF	7	F	2	1/8/14	1			
DM	45	M	2	1/8/14	1			
OT	NA	NA	2	1/8/14	NA			
DS	157	M	2	1/8/14	0			
OX	NA	NA	2	1/8/14	NA			
NA	218	M	2	2/18/14	0			
PF	7	F	2	2/18/14	1			
DM	52	M	2	2/18/14	1			
PF	8	M	3	3/11	1			
NA	NA	F	3	4/8	1			
NA	NA	NA	3	5/6	1			
NA	182	F	3	5/18	1			
OT	29	F	3	6/9	1			
NA	115	F	3	7/8	1			
NA	190	M	3	7/8	1			
